Comments,Score,Difficulty,Attendance,Would Take Again
"I had him for Medieval English Lit and while I hated the material, the class itself wasn't that hard. I thought it was okay to not read before the midterm and got a C on that. But he does let you re-do the papers and I ended up with a B+ in the course. He's a good professor, although a bit scattered.",4.0,2.0,,
"He is insanely passionate about the material, and even though I dislike old English Lit, I had to admire that. He has a tendency to ramble and fixate on small details, but he is also a very fair grader and takes student input into account. Even though my interest level was low, I learned a lot and was glad I took it with him.",3.0,2.0,,
"As much as I love him as a person I don't find him to be the best professor ever. He was sweet and adorable the whole class, but when it came to actually obtaining information from the class I felt it was lacking. Overall though, I'd take a class with him again.",2.5,3.0,,
"Professor Biggs is a really great professor. He clearly delineates what information he wants you to know for his two exams, and is always open for suggestions - i.e. if you're having trouble with something, he'll make an effort to change it and help you. I highly recommend him as a professor.",4.0,2.0,,
"Nice guy, made taking an english W course over the summer bearable.  Even treated the class to dairy bar ice cream which is always a plus!",4.5,2.0,,
"He is very fun, but on a completely different level in terms of his extensive knowledge of very specific and narrow subjects. Will often lose the class' attention span because he unintentionally talks completely over their heads... He is very sweet and dedicated, though.",3.5,1.0,,
Soft-spoken,5.0,1.0,,
"Sherri is a sweetheart and brings a lot to the medieval history program. Great lectures that engage our modern beliefs and traditions with their European roots. Interesting readings and course material and the papers are not very bad. Make sure you take this course solely if you enjoy the topic, I can imagine many would consider this class dry.",4.0,3.0, Not Mandatory, Yes
"She was helpful during office hours and gave helpful feedback. The class is reading heavy, but the required readings are manageable and interesting. There is only one paper, but two writing heavy exams, which were definitely the most difficult part of the class. She lectures mostly every class, but they are interesting and engaging.",4.0,4.0, Mandatory, Yes
"Most of us in the class were history majors, which definitely contributed to finding the content worthwhile. If you are not prepared to do the readings, I would avoid this class, but as soon as you embrace it, life gets easier. She is extremely friendly and her years of work in the field really show. Will be taking the sequel next semester.",4.0,4.0, Mandatory, Yes
"lots of writing, but it's only for majors. her grading got tougher as we moved through the semester. readings are interesting, but everything with her is medieval history",3.0,3.0, Not Mandatory, Yes
"took in the spring 2020 semester when we were sent home. the class was much better in person. online she didn't really post the lectures until the last minute. readings were not too intense, but there was s good amount",4.0,3.0, Mandatory, Yes
"Professor Olsen is very sweet and organized, but her grading is pretty tough. Every week you have a few primary source documents and a paper to write. The workload is manageable and on par with other upper level history courses. She was very understanding of extenuating circumstances which I appreciate.",4.0,4.0,, Yes
"i was excited to take this class and it made me so unhappy and feel so inadequate i'm ashamed i ever looked forward to it in the first place. awful professor. no matter how hard you work, you will never be good enough to her. that is across the board... no matter who you are, what you know, she will always look down on your work.",1.0,5.0, Not Mandatory, No
"This class was the most difficult history class I have taken at UConn thus far. Olson does not provide clear grading criteria and most of her feedback feels nitpicky, not constructive. Often she would agree with the content in my papers, with the exception of one minuscule ""error"" she found, and then take 10-12 pts off.",1.0,4.0, Not Mandatory, No
"This class made me so miserable it was the topic of many therapy sessions. The grading was unnecessarily hard and, honestly, most of us are convinced she graded some kids harder than others just because she could. If I said ""A"" in a paper, it was right for me and wrong for others, and vice versa. This class ruined my soul and killed my happiness :)",1.0,4.0, Not Mandatory, No
"Prof. Olson is very kind and doesn't treat the class as more than it actually is. The class is reading a source or two from a textbook, with the following class focused on going through and analyzing the source further. There was a midterm, exam, and a 5-page paper that made up the grade.",4.0,2.0, Not Mandatory, Yes
Avoid Olson if you can. Every single class consisted of her lecturing in a monotone voice with no form of visual aid or note taking guide for the entire 75 minutes. Even if you try to pay attention there is no chance you will be able to get everything she says down and you will be bored out of your mind. Essays/tests unnecessarily difficult,1.0,4.0,, No
"She very clearly has plenty of enthusiasm for the subject matter and does an excellent job remaining engaging with the class! Get ready to read, though. If you don't read, you'll struggle to keep up with the lectures and you'll fail the major paper she assigns. She's also a tough grader and requires mastery of knowledge, not just familiarity.",4.0,4.0, Mandatory, Yes
"On a personal level, she is a really cool person. It's always nice to see such genuine enthusiasm for a subject. As a senior, the exams are probably the most difficult I've ever taken. You must write a lot in a relatively short period of time, but you get the possible essay questions ahead of time, so just prepare/make outlines/go to office hours.",4.0,4.0, Mandatory, Yes
"Very passionate about her job, but very dry in lecture. Makes an hour and fifteen minutes feel like ten days. Tests are very difficult and papers are graded harshly.",2.0,5.0, Mandatory, No
"If you are a slacker, don't take this class. Olson has no time for bull, but if you show that you care, go to her office hours and attend lecture, she will go out of her way to help you. Conventional history lecture - do the readings or you're setting yourself up for failure. She's a good professor, strict but fair.",5.0,3.0,,
"She is a fair, good woman. She expects a lot of her students, but if you go to her office hours and show that you care, she will help you succeed and she genuinely cares about her students. Definitely attend class - she gives the answers to exam during lecture.",5.0,3.0, Mandatory,
"Overall she's a woman and decent, yet typical professor. The overwhelming majority of her lectures are based on the readings, which she goes over in great detail (although boring). While the tests seem hard, she provides an outline and essay questions for you in advance. As long as you do the readings and follow her directions, you'll succeed.",3.5,3.0,,
"Straight from the book and lectures but you learn quite a bit. Tests are graded strictly - you have to know your stuff, but you get outlines and Essay Qs prior. Not hard if you do the work. Imparts a lot of information - you will learn.",4.5,3.0,,
"Prof Olson is very knowledgeable and easy going. Yes, she demands a lot from the students, but she is willing to give students all the help in the world. Basically you have to be an adult to do well in her class.",4.0,4.0,,
"Olson's class from what I rememebr was my least favorite. And Im a history person. No color, all boring books, superficial explainations, weird hard tests. She NEVER would call on me.I hated my TA. Were graded ONLY on what we would absorb from the book. Hey is this college or like something else?Rambling, boring lectures about everything.",1.0,5.0,,
I am enjoying the discourse (meetings with her) so much I am reconfiguring my degree based upon getting to know her.,5.0,3.0, Mandatory,
Professor Passman is one of the nicest Professors you will come across at UMaine. Although I have never met her she is very understanding. She will take ages to grade a paper for you but that seems to be her only flaw. Papers were inclusive of your idea's as well as idea's from the text. Great class.,5.0,1.0,,
"Tina Passman created this class for me because I couldn't find a class that I liked that suited my interests in my field. It is a classics course disguised as a history course, and it worked, and it will always be one of my favourite experiences. Love Tina Passman!",5.0,2.0,,
"Extremely intelligent, caring, and sweet woman. Class is discussion based and the workload is moderate--1 paper per week plus commenting on other people's papers. She is very open to other opinions and you learn a lot from her. Genuinely cares about students and their progress!",4.5,2.0,,
She's incredibly nice and intelligent; by far my favorite professor thus far.,4.5,2.0,,
"Took a course with her online-Women in the Ancient World. Very easy-just participate and make an effort on the essays. Very relaxed with late work. Sometimes takes a while with grading, but thats the only (small) flaw.",4.0,1.0,,
"I love her! She's not a great lecturer (reads her slides on the heroic journey and that's it) but a fantastic preceptor. I looked forward to this class every day. Puts time in-, she has written me 3 great letters of reccomendation for things this semester, and I've gotten each thing. Clear work, down to earth, understanding, caring, knowledgable.",5.0,3.0,,
"Very fair grader, she wants you to LEARN the material not be afraid of it like my past latin teacher. Very kind person who really cares about her students, easy grader.",5.0,1.0,,
very slow grader and very ambiguous grading criteria... don't expect to know how you got your final class grade. but she's also one of the nicest and most encouraging profs i've ever met at umaine.,3.5,2.0,,
Tina is a wonderful teacher.  She is one of the most supportive and compassionate human beings you will ever meet.  She makes going to class an enjoyable learning experience and is almost always able to shed more light on course material.,5.0,2.0,,
One of my favorite,5.0,1.0,,
"One of the best teacher the University has, take her classes, you will not regret it! Also, do your work :)",4.5,3.0,,
"Fantastic teacher, still a life long friend and mentor",5.0,2.0,,
"The best teacher I've ever had! Kind, understanding, and has a passion for teaching. Don't graduate before taking a class with her!",5.0,2.0,,
"very good teacher, highly recommened for first year students and always an easy grade if you're not. You learn alot, read alot, and get a great grade. I loved every minute and learned so much. She's like the perfect grandmother teacher.",5.0,1.0,,
By FAR the best professor I have ever had! She doesn't believe in students getting below a B so she'll allow you to rewrite any of your papers. I definately recommend taking anything she teaches!,5.0,1.0,,
"She's incredibly easy - but if you pay attention and put the effort in, you'll get a lot out of her class.",4.5,1.0,,
"Lots of assignments, but she grades easily... very nice, helpful and understanding... i would definitely recommend taking her honors precept",5.0,2.0,,
I had a Buddhism course with her through the honors program and it was amazing!  Keep your eyes open for this and try and take it!,5.0,3.0,,
"Kind and understanding. There is plenty of wriggle room for slackers, yet those at the top, like me, are still able to assimilate as much as they can handle. I learned more Latin in two weeks here than I did in two years of high school Spanish.",5.0,3.0,,
Sweetest teacher. Knows the material. great book (that he wrote). Very understanding and fair grader. Tons of reading for class. Impossible tests but he scales them. He's adorable and super intelligent. You'll leave knowing a ridiculous amount about case law. Good for any Pre-law student.,5.0,5.0,,
"Really nice guy. Scales exams a lot. On the fiest exam I got 70 out of 156 possible points and got an A. The material may seems a little difficult, but he goes over it fairly well in class discussions. Always willing to help after class or during office hours. Nice older professor who is concerned about the students and their progress.",5.0,2.0,,
The worst class I have ever taken. The professor was terrible and practically insulted the students in the class. It's not worth the time or effort.,2.0,4.0,,
super nice man. loses his place due to his age though.,3.0,2.0,,
A very pleasant man who knows his stuff. Tests were scary but graded fairly. I learned and retained a lot of info from his class.,4.0,4.0,,
"Really really nice guy, but not really a good class. Exams are on computer program, which means you can take them as many times as you want. He also allows for several retesting sessions, only problem is this doesn't leave much time for lecture. You'll learn much of the material on your own",4.5,3.0,,
"excellent professor, wrote the book on philosophy of law (literally), nice guy, don't miss out on taking a class with him.",4.5,3.0,,
"horrible class. so boring! he's a nice man, but i couldnt stand his lectures",2.5,3.0,,
"Very nice guy, gettting older, can be very very smart and engaging, sometime takes a while for him to understand your position but once he does he is very good about engaging in philosophical discussions.",4.5,4.0,,
Very boring and a waste of time....bring a doodle pad or a book to read in class.,1.0,3.0,,
Very confussing teacher...just teach yourself out of the book (book is really good and straight foward). Classes are a major waste of time (but you can't miss more than 6 or else grade drops). My advice bring other work to do in class.,2.0,3.0,,
Best professor this campus has.  Always a pleasure taking his classes.,5.0,2.0,,
"Confused man, easy topic.  Book is helpful, just do the hw, A in class.",2.0,2.0, Mandatory,
"not the most enjoyable class ever, but he's always willing to help!",4.0,3.0,,
"he's such a confused man, he shouldn't be teaching, but its an easy class...",2.0,1.0,,
"As long as you are able to pay attention you'll get a lot out of it. If you have a hard time paying attention avoid his classes. Don't worry about missing a class, he'll spend half of the next class repeating material.",4.0,4.0,,
"The class is kind of boring, he repeats a lot of material from the class before but tests are pretty easy and if you take good notes and go to class you don't have to read the text. Overall not a bad class and TeBrake seems very smart.",3.5,3.0,,
"He is very knowledgable but tends to just go off on tangents and you never really know what to right down. He also tends to spend half of the class ""recaping"" what he taught last class. This is convient if you missed class, but a little annoying if you didn't. He is a very pasionate instructor and deffinatly enjoys what he is teaching.",2.0,4.0,,
"Tebrake is not the best lecturer I have had. Much better to sit up front to stay alert and catch everything he is saying. It is suggested that you read the book, long chapters so prepare for some hard core reading! TA graded everything easily.Go to class and take notes, it will save you from some of that reading!",3.0,3.0,,
"Class was pretty boring. Teacher is very smart but when i had his class he just read off his slideshow all class..ZZZZZ. He'll answer all questions, but like mentioned before, dont expect this class to be very interactive.",3.5,3.0,,
"Very informative class, very smart professor. Not an interactive class though, so if you're looking for one don't take it. Lots of material covered, and if you're interested in the medieval period (and lots about agriculture) 403 and 404 are great classes.",3.5,3.0,,
"He is verbose and incredibly articulate.  He is a genius and I think he wrote a book over Medieval Agriculture, which explains a lot.  The TA grades everything...He simply lectures for an hour and a half.  I brought my laptop everyday and took notes like that, made it a lot easier.  The class is not interactive at all.  Sit up front to stay awake!",4.0,2.0,,
"This is one of the most boring classes I have ever taken. It could be interesting, but it's killed history for me.",2.5,4.0,,
BORING!!!! Don't take this class first thing in the morning unless you want to sleeo through it.  Has no respect for other students opinions and disgreeing with him will cost you at grade time.  The tests and papers were generally easy as long as you went to class.  However one of the most boring classes I ever took.,1.5,4.0,,
"Dry lectures, very boring. He's clear in presenting his material, if you can pay attention long enough to absorb it. Two essays, two tests, all easy. TA offered use of her class notes as well.",3.5,1.0,,
"He's a good teacher in class and his lectures are easy to understand.  He's very vague with grading though..and very picky.  When writing essays about books he assigns, make sure you give a huge summary.",2.5,4.0,,
"This guy is kinda boring, be he is nice and his class is easy. His two required essays are easy, just book reviews. All you need for his tests are the notes, the books are basically useless so dont waste your money. Very easy course.",4.5,2.0,,
He was boring and the class sounded hard but was very easy.,1.5,2.0,,
this class was boring as hell. it's never very clear what he expects on tests and i could not tell you one single thing i learned this semester that i didn't know before.,3.5,3.0,,
Boring,2.5,2.0, Mandatory,
Uses every minute allotted.  Moves very quickly and the exams cover too much material.  Thousands of years of history covered in one exam.  You must enjoy memorizing.  I like this professor and he likes his subject.,5.0,4.0,,
"Like others have said, tends to be long-winded but he does have some interesting things to say. He outlines the most important things on powerpoint.. easy class.",4.0,2.0,,
"Classes are hard to stay awake in, but just show up and follow the slides and you're golden. Exams are tricky if you don't read the assigned readings, but if you read and go to class it's an easy A.",3.5,2.0,,
"Long-winded and hard to follow throughout lectures. He tends to get too bogged down in agriculture and related topics since it was his doctorate research, which can be painfully dull. All you need to know for exams and essays comes from course texts.",2.5,1.0,,
"Definitely my favorite professor at UConn. I am premed and took this class as an elective. Lots of reading (but I enjoy it). Attend class and take notes even if you didn't do the reading. Just hearing the content will help you remember it and get As on the midterm and final. Very nice man, I would highly recommend the class to anyone.",5.0,1.0, Mandatory, Yes
"Hands down the most boring class I have ever taken. It was actually agonizing to listen to his lectures. You don't need the $50 book, everything is online. The papers make no sense. I learned nothing in this class. Can't read his handwriting either. He seems like a nice guy just boring as ever. There are many other better English classes.",1.0,3.0, Mandatory, No
"He's an excellent professor, but this class isn't easy. He is a fair, but  tough, grader. I liked what we read, but I wouldn't really recommend this class to non-majors (I took it as a gen-ed). The material can be dense and hard to properly analyze.  But, if you can put in the needed work, it's worth it.  Note that the class size is very small.",3.5,4.0, Mandatory,
you  literally don't have to do anything in this class to pass,5.0,1.0, Not Mandatory,
"At first I was terrified I would fail Professor Recchio's class. However, I put work into my essays and ended up with an A. I didn't read most of the assignments. Tom cares about the subject and his students. He's a great guy, but a bit of a hard ass. He says things people don't like hearing but an A is definitely achievable. ",2.5,3.0, Not Mandatory,
"Although many people hold Tom in high regard, he is not the best professor. He is unclear with expectations on all assignments. He is rude and somewhat degrading to students, but I don't think his intention is to come off this way. To be honest I feel as though I have learned nothing in his class. ",1.5,4.0,,
"Overall, sets a terrible example for students.",1.0,5.0, Mandatory,
super high expectations for students work. wrote a 25 page assignment for his class. can be rude without even realizing.,4.0,4.0,,
Arrogant and annoying. Avoid.,1.0,5.0,,
"This man is brilliant, just brilliant. You'd be missing out if you didn't take his class. Yeah, he holds people to a high standard--get used to it.",5.0,4.0,,
"This fake smart professor is the very worst professor I've ever had, and no one loves English more than I do.  Not only is this man ill-informed and confused, but he treats his students with arrogance and distain.  Beware, this man is secretly incredibly stupid.  I think my IQ dropped since I took his class.  Can PhDs be revoked?!",1.0,2.0,,
Total jrk. DOn't tell him anything in confidence.,1.0,1.0,,
Cool guy.  Helped me a lot.,4.5,3.0,,
go tom.,4.5,3.0,,
"Show up, take some notes, and participate. Discussions were the best part of this course, especially since it's so small (honors section). Exams are easy if you just review your notes the night before and are able to compose a clear, argumentative essay. Would definitely take again. ",3.5,2.0, Mandatory,
"Lecture was pointless - he read directly off his powerpoints then posted them online, so you could just read the lecture there. Annoying that you cannot use laptops to take notes, lest you browse facebook instead of pay attention! Very easy if you read his slides; if you understand those you don't even really need the book.",4.0,1.0,,
"Going to class isn't necessary; he just reads off the slides verbatim. Also, don't bother buying the textbook, as the readings will only confuse you more.Instead,review PowerPoints on HuskyCT before discussion,where there is a true/false quiz or 1 page essay each week.Hope for a good TA like Noah Sharpsteen,who was more engaging than the professor.",3.0,3.0,,
"Very hard gen ed class, vague true/false exams with very unclear questions.  Nice teacher, but would not recommend course.",2.5,4.0,,
"The guy thinks he's the new Socrates. In love with the sound of his voice, but very unoriginal as a teacher. Boring and unfair. I would stay away from this clown.",2.5,4.0,,
this class was DIFFICULT but interesting. people love him and he's just like... a funny little guy. take it if you dont want just another easy a gen ed,5.0,5.0,,
"One of the most boring professors I have ever had.  Maybe it's the material we go over in class, but I do NOT recommend this class to anybody who is not taking this specifically for their major.",3.5,4.0,,
He is very clear when he teaches and explains the philosophers and their work very well.  A++,4.5,3.0,,
One of the best professors I have had. Highly recommended.,5.0,3.0, Mandatory,
"A very difficult class...this was back in 1998 or 1999. But I found him very thoughtful and very structured. As a result, we got a lot done in that class. But it was still work",4.5,5.0,,
The best professor I ever had. Period.,5.0,2.0,,
One of the best professors I've ever had.,5.0,3.0,,
Its hard not to love him and grades are mostly based on mandatory attendance.,5.0,1.0, Mandatory, Yes
"Hands down the best and most iconic Kenyon professor. So supportive, so sweet, and loves his students! ",5.0,3.0, Mandatory, Yes
"Doc Locke is an absolutely amazing professor and person. He truly cares about his students and the members of the community, and is very very passionate about music. I look forward to going to this class every week because of him. I truly have nothing bad to say. His grading scale is fair and he is very flexible if you reach out to him. ",5.0,1.0, Mandatory, Yes
"You will never meet a kinder soul on this Earth. Every moment spent in Doc's presence is a gift. His love for music, teaching, and people is evident in all the work that he does. I wish every music teacher was as wonderful as Doc Locke.",5.0,2.0, Mandatory, Yes
"The sweetest human to ever walk this Earth, and an incredibly talented musician. Not just a Professor, but a mentor. Take any class with Doc Lockeyou wont regret it.",5.0,2.0, Mandatory, Yes
Do not skip a class and it'll be a guaranteed A.,5.0,1.0, Mandatory, Yes
Doc Locke is funny and amazing. Community Choir is the easiest A I've ever gotten. As long as you show up and sing you will succeed. Locke is the best. ,5.0,1.0, Mandatory,
Doc is my favorite professor at Kenyon so far. He's incredibly helpful and understanding and is overall just a wonderful man.,4.0,2.0,,
"Best choir conductor! I had almost no knowledge of music theory when I got into Chamber Singers, but he was somehow able to make me sing a bunch of complicated music and actually understand it. It is easy to get along with him if you share a passion for music.",5.0,2.0,,
"Doc is phenomenal. I never saw the true value of watching a conductor while you sing before Doc. He genuinely cares about each student. When I screwed up an audition from lack of sleep and started crying, he not only comforted me, but held his decision and allowed me to come back another day.",5.0,1.0,,
Awesome.,3.5,1.0,,
"Loves what he does, community choir is an easy A as long as you go to EVERY rehearsal.",5.0,1.0,,
Great choir director. Has his ups and downs.,4.5,1.0,,
"Arrogant, stuck-up, nice to favorites and not to others. Pretty good choir teacher, nothing special as a conductor though. Not really an academic professor. Classes easy as h**, though.",3.5,2.0,,
He's brilliant.,5.0,4.0,,
"Well....He's talented.  He cares about his students and invests a lot of time in them.  You can learn from him.  That said, he can be arrogant.",4.0,4.0,,
Superb. He's such a talented choir director. Plus he's a great human being.,5.0,3.0,,
Not always nice. Maybe because he loves music and himself too much.,2.5,3.0,,
"Doc is a great, passionate teacher who will make you love music as much as he does.",5.0,3.0,,
"Smith was one of the most challenging professors that I had during my undergraduate and graduate studies. His expectations were high. To get an A, he demanded that you know the material! But he made time to help you if you asked. Smith did more to prepare me for a successful career that spanned more than 3 decades than any other instructor!",5.0,4.0,,
Smith is an excellent professor as long as you are willing to learn and put in the extra effort. No free rides here. He emphsizes practical subject matter with real world application.,4.0,5.0,,
"This may be the worst class in the communication department...The slides are insane, and the class is fully online.  The professor is on a sail boat, and he doesn't care about the students at all.  HE ASKS THAT YOU DO NOT EMAIL HIM...WHAT A HORRIBLE HORRIBLE ONLINE CLASS",1.0,5.0,,
"Being in his class taught me 1 thing. That people who are media comm. majors are ****ing nutz. Thanks to him I changed my major before I ended up 35 and broke off my ass while a 23 year old has my job.   All notes are online so you don't have to go to class. I didn't and I walked out w/a high B.",3.0,1.0,,
go get on your boat and retire. The apples haven't fell far from the tree.,4.5,1.0,,
"I was in his office everday trying to figure out the Nielsen ratings. He was a tremendous help, mentor, friend all of my 4 years. Keep up the good work!",4.5,3.0,,
"Funny lectures, down to earth dont give a damn guy!",5.0,1.0,,
Amazing. Best Professor you will EVER have. You're dumb if you dont take a class with him. He's like my mentor. You just have to take the time to step back from his wackyness and actually listen to him and appreciate and respect him.,5.0,4.0,,
he knows what he is talking about but he just does it not very pleasant way.,2.0,4.0,,
Smith knows his stuff.  I can tell you that his classes WILL prepare you for the real world.  Best professor I've ever had (undergrad & grad).,5.0,5.0,,
"Take a class with him before he's retired. You won't regret it. He knows his stuff, and makes sure you know it too.",5.0,2.0,,
"I took this online with him, and he was awful. So unclear and weird. He would not update for weeks at a time. Not to mention the class was hard, especially being online.",1.0,5.0,,
I LOVE SMITH!!!!!!!! he is the best teacher i have ever had by far. he knows his sh** and has great experiences to teach from. a valuable assest to the department. he will be very much missed next year when he retires.,5.0,1.0,,
"Great teacher!  Smart and Effective if you want to learn.  If your looking for an easy A, then your SOL.  Engages students and is very funny.  Knows his subjects and has real life experience!",5.0,3.0,,
"Anyone that says Smith is not a good teacher is not a good student. Smith teaches with real world experience, and makes sure you know your stuff. Great Prof. hands down.",5.0,3.0,,
I havn't had a problem with him yet. I love his class. He's a funny guy and makes jokes all the time. He's not afraid to tell u the truth even when u don't want to hear it. The tests are alittle harder than I thought but as long as u show up and read u're fine. He makes learning easy and fun,4.0,3.0,,
"Great guy, funny as hell.....Some people hate how ""honest"" he is, but he has real world experience. If you suck, he will tell you. He won't sugar coat it. Knows what he's talking about, take him before he retires",5.0,2.0,,
A horror.,1.0,5.0,,
"Awfully inaccessible to students!!!Caused me SO much grief while trying to coordinate my internship while studying abroad! Never responds to calls or mails either. Gave me wrong grade on transcript even tho told me I had an A-, & still hasn't corrected it",1.0,5.0,,
"Much more confusing than Professor Richardson; wants to be your best friend, which does not help with the course content",1.5,3.0, Mandatory,
"Great Prof, Obviously a very smart guy and 100% dedicated to his students.  Very helpful in office hours and study sessions.  He teaches challenging classes, but he teaches them well if you're willing to actually invest your time and effort (you will not always breeze through Intro Organic or Synthetic Organic Chem).",4.5,4.0,,
I had him for organic chem last year.  He is not the best prof I have ever had by any stretch of the imagination.  His problem is that he wants to be everyone's buddy.  So he spends a lot of time being friendly and doing weird things in class (dance off anyone? pics of my preggers wife?).  Take orgo when Prof. Richardson is teaching it!,1.5,3.0,,
"The worst.prof.ever.  Exams are really long and does not always cover the material learned in class.  I would suggest that you don't bother going to office hours. But if you do, don't let him close the door completely.  You could be there for hours....",1.0,5.0,,
"He was awful!  I had him for organic chemistry.  He jumped around like an idiot and told stupid jokes that were met with complete silence.  And some of the jokes were offensive to minorities especially women.  He often seemed unprepared and didn't answer questions clearly.  His exams never resembled what we went over in class.  In short, stay away ",1.0,5.0,,
Aweful,1.0,5.0,,
best ever,5.0,4.0, Mandatory,
"After a few classes with Woody I truly despised the man due to his high expectations regarding punctuality, attendance, and participation. However, as I adjusted to meet his demands I discovered he was a truly brilliant professor and a wonderful man. If you are open-minded, willing, and driven he will change your life! (Ivy league teacher at a CC!)",5.0,4.0, Mandatory, Yes
"I took this teacher a few years ago and have never had an issue with a teacher as much as I do with this guy. I literally failed because I was tardy by less than five minutes, a few times to his class. He mentioned that if we are late a lot that he would drop us from the class. Never mind the good grades that I got an hard work that I put into it.",1.0,4.0, Mandatory, No
"Every time I went to him for help, I left more confused. I respect that he wants you to figure out what's wrong with an essay by yourself, but more guidance than what he offers is needed (at least for me, it was) for that to happen. If you are a student that needs a lot of help (or any) in English classes like me, I would recommend Mr. White. ",2.0,4.0, Mandatory,
"MUST do the readings, MUST attend seminars. I don't think there's much work really, even if there was reading every night. He's smart and sometimes he's cool, its just a hard class but worth the enlightenment throughout the course.",3.5,4.0, Mandatory,
"I took this class my 1st quarter here at BC (Spr 13) and he told us that if we survived his class, then we could survive any class...and he wasn't kidding! This class really works your brain (it felt like it was on fire), however if you love poetry, this class is for you! If you don't then it's still a good class for improving your writing!",5.0,5.0,,
"Expects ridiculous amounts of work from his students. acts like it is the only class you should be taking and have no life. Expectations  of work not clear. 30-50 pages of reading nightly. First day said ""even though this is bellevue college I don't see why my class should not be held to the same standards as a class at harvard, stanford or yale.""",1.5,5.0,,
"If you want to have a life outside of his class (job, friends, other classes) do not take his class. If you are earning an English major, enjoy watching foreign films, take pleasure in writing long essays on ambiguous topics, are atheist, and are able to or have the time to read 200 pages a night, then take his class. DO NOT TAKE HIS ENG101 CLASS!",1.5,5.0,,
"Very controversial and offensive about religious matters in class, almost like he thinks he is God. Woody West has a very difficult class and it is nearly impossible to do well unless you sacrifice your life. It seems like he is looking for perfection I would never recommend him.",2.0,5.0,,
"West's class is very rigorous and not easy but if you work hard and make an effort you can do well. In class he can be confusing and makes it sound like he won't help but if you intentionally go to him during his office hours he tells you exactly what he wants, plus his syllabus outlines it all. This has definitely been one of my favorite classes!",2.5,5.0, Mandatory,
"Mr. West's class is definitely the hardest I've taken, but I definitely feel so much more enlightened. He's really smart, kinda pretentious at times, but he has a lot of great things to say and is very interesting. If you're willing to put in the effort (which is a lot), you should take this class.",3.0,1.0,,
"West has the most challenging class I've ever taken. He makes it so much easier than it is, he is clear with his thoughts, always willing to help, explains things very very well, and is the top teacher I've ever received schooling from. He is very clever and talented, and I would recommend it to anyone who needs a challenge.",5.0,5.0,,
The most terrible teacher I've ever had! The hardest teacher I've ever had! Never talk with you directly. Nothing worth in his class.,1.0,5.0,,
"If you want to become a better writer, take West's class. Show up on time, read the material and do the work. Woody will actually sit down and HELP you. He offers insightful criticism and intellectual discussions. Overall it was an excellent class.",5.0,1.0,,
"His class was in fact really hard. Towards the end of the quarter, I didn't sleep for two days and finished my final portfolio, getting an A. If you work hard,you will get a good grade. After taking his class, other classes was become sucha breeze.",4.5,5.0,,
"One of the hardest classes I have ever taken. Never wait till the last minute to do one of his assignments! I learned so much from himself though, so if you are willing to put in the effort, I would recommend him. He's funny too!",3.0,4.0,,
"If you want to expand your writing and analysis skills, then take his course. If you want to watch and read easy material, and drone through monotonous, uninspired papers then look elsewhere. Great Prof. Would take the class again. I worked my butt off and earned my ""A"".",4.0,4.0,,
"Hardest teacher I have ever had. I tried talking to him after class and yet he still never gives you a straight answer, he just wants you to amaze him without giving you the how to. His standards are impossible and his assignments are long and painfully hard to elaborate on. I highly recommend a different 101 class.",1.5,5.0,,
"I loved his class.  I like writing though.  I think that if you aren't dedicated to learning, he's probably not going to be anywhere near your favorite.  Meets privately with you twice to discuss your work and where you can improve.  Gives you every oportunity to get a good grade if you are willing to apply yourself.",4.5,4.0,,
"At the beginning of the year Woody showed us a documentary on the failing education system, his method of ""fixing"" those outlined problems are totally self serving for his ego but hurtful to the class. eg... ridiculous attendance policy, inflexible grading that doesn't account for improvement, refusal to answer questions, lots of french films",1.5,4.0,,
"He gives you two books and two movies. You have to write an essay on one of each. Also you have to write response papers. He's big on Socratic Seminars. His office hours are usefull, but it's hard to get him. You really have to be independant. If you're good at English already, take it. If you suck at english and are lazy, don't.",1.5,4.0,,
"Took the Model UN class, and absolutely loved it! His bark definitely hurts more than his bite, but him coming from an international and years of teaching viewpoint is perfectly understandable. He really doesn't like teenagers.",2.5,5.0,,
"Knowledgeable firebrand.  Fair, but not to be messed with.  His bark is worse than his bite, don't be intimidated. Model UN is fantastic",5.0,5.0,,
"He is the worst professor! In class he talks about reading newspapers and understanding politics. How anyone is suppose to understand politics when the professor is reading newspapers in class. And in the end he gives you a test on the textbook, or thing you?ve never discussed in class. Don?t waste your time and money!",1.0,4.0,,
"Awesome professor, only problem? Hard accent to understand at first, often unclear, tests are impossibly difficult.",3.5,5.0,,
"These punks that just got out of HS don't know what hard work is. I am about to graduate from UW, and if you can't be tough & hard-working don't take Khan, but if you can handle a lot of good info and a strict teacher (who actually cares about students and wants them to succeed) then take him. He makes class fun! Wish he taught at UW.",5.0,1.0,,
"I just don't like this teacher at all, and this is a hard class!",1.0,5.0,,
"This class was horrible. Tasteless,senseless, and absolutely useless. The book was the only thing i learned from. the lectures were horrible. The teacher himself was late, and could never provide the right answer when questions are asked.He SUCKS NOT Recommended. rarely responds to emails, always opinionated towards students and the news.",1.0,5.0,,
"Boring, of topic, hard to understand. I feel like I will fail class and no extra credit opportunities. Seriously pay attention to what everyone says in ratings!",2.0,5.0,,
